player,age,elo,hardraw,clayraw,grassraw,hard-court-elo-rating,clay-court-elo-rating,grass-court-elo-rating,peak-age,peak-elo,gender
Luciano Darderi,19.9,1319.2,1204.2,1307.9,-,1261.7,1313.6,1359.6,19.8,1421.6,Male
Jc Aragone,26.4,1318.3,1308.4,1032.5,1385.2,1313.4,1175.4,1351.8,23.2,1567.3,Male
Matteo Martineau,22.8,1315.4,1219.1,1290.3,-,1267.3,1302.9,1357.7,22.1,1379.6,Male
Tiago Cacao,23.8,1315.4,-,1270,-,1267.7,1292.7,1357.7,23.1,1460,Male
Nikolas Sanchez Izquierdo,22.7,1313.1,1162.3,1282.9,-,1237.7,1298,1356.6,22.2,1449.3,Male
Nick Hardt,21.2,1309.4,1176.3,1282.1,-,1242.9,1295.8,1354.7,21.2,1338.5,Male
Oriol Roca Batalla,28.6,1301.6,1247.1,1264.5,1352.2,1274.3,1283,1326.9,22.5,1474,Male
Rudolf Molleker,20.8,1294.4,1181.9,1279.6,1313.5,1238.1,1287,1304,18.6,1709.8,Male
Gonzalo Villanueva,27,1277.3,1147.2,1302.5,-,1212.2,1289.9,1338.6,26.3,1341.1,Male
Roberto Ortega Olmedo,30.6,1274.3,1257.2,1215.2,1367.6,1265.8,1244.8,1320.9,23.2,1491,Male
Jacopo Berrettini,22.9,1259.5,-,1236.1,-,1239.8,1247.8,1329.8,20.6,1396.7,Male
Lucas Catarina,25.4,1257.1,1244.6,1184.4,-,1250.9,1220.7,1328.6,24.6,1356.5,Male
Dayne Kelly,31.4,1246.4,1217.8,1194.8,1349.1,1232.1,1220.6,1297.7,19.8,1450.5,Male
Yu Hsiou Hsu,22.8,1244.5,1204.4,1197.1,-,1224.4,1220.8,1322.2,22.4,1339.3,Male
Roberto Cid,28.3,1236.8,1290.2,1143.1,1407.4,1263.5,1189.9,1322.1,24.8,1570.6,Male
Daniel Dutra Da Silva,33.5,1233.8,1089.8,1242.9,-,1161.8,1238.4,1316.9,20.2,1482.5,Male
Shintaro Mochizuki,18.5,1214.1,1163.4,1153.5,1408,1188.8,1183.8,1311.1,18.1,1341.6,Male
Nick Chappell,29.3,1174,1212.6,1078.1,1355.2,1193.3,1126,1264.6,28.4,1444.1,Male
Vladyslav Orlov,26.6,1135.1,1043.1,1227,-,1089.1,1181.1,1267.6,24.7,1233.4,Male
Alexander Erler,24.1,1087.3,1084.9,1083.5,-,1086.1,1085.4,1243.6,16.8,1202.3,Male
Ashleigh Barty,25.3,2132,1994.1,1929,1817.9,2063,2030.5,1975,25.3,2148.9,Female
Naomi Osaka,23.9,2038.9,1986.8,1661.1,1546.2,2012.9,1850,1792.5,23.4,2114.3,Female
Simona Halep,30.1,2033.4,1910.2,1934.6,1757.4,1971.8,1984,1895.4,26.9,2096.2,Female
Anett Kontaveit,25.9,2010.6,1934.3,1743.7,1571.7,1972.5,1877.2,1791.2,25.9,2010.6,Female
Aryna Sabalenka,23.5,1990.5,1880.7,1771.7,1677.6,1935.6,1881.1,1834.1,23,2053.4,Female
Garbine Muguruza,28.1,1988.4,1907.9,1833.5,1656.4,1948.1,1910.9,1822.4,23.9,2023,Female
Victoria Azarenka,32.2,1975.2,1882.9,1692.3,1581.5,1929.1,1833.8,1778.4,23.6,2191.3,Female
Karolina Pliskova,29.6,1962.4,1846.8,1815.5,1743.8,1904.6,1888.9,1853.1,27.3,2022.2,Female
Danielle Rose Collins,27.9,1960.1,1862.6,1727.2,1492.4,1911.4,1843.7,1726.3,27.9,1960.1,Female
Maria Sakkari,26.3,1958.4,1860.6,1757.6,1503.2,1909.5,1858,1730.8,26.3,1958.4,Female
